LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,AboveMedianPrice
10778,4,5,1768,2,0,4,8,0,0,0
10440,5,6,440,1,1,2,5,0,440,0
13000,6,6,896,2,1,4,8,1,509,1
4500,6,5,1237,2,0,2,5,0,405,0
10206,8,5,1563,2,0,3,6,1,758,1
8892,5,5,1065,1,1,3,6,0,461,0
8530,7,5,384,2,1,3,7,1,400,1
16059,8,5,1288,2,1,4,9,1,462,1
11911,6,5,684,2,1,3,6,1,400,1
3951,6,5,612,2,1,2,4,0,528,1
8470,3,2,1013,1,0,2,6,0,0,0
8070,4,5,990,1,0,3,5,0,0,0
7200,4,5,0,1,0,2,4,0,420,0
8500,5,3,1235,1,0,2,6,0,480,0
13360,5,7,876,1,0,2,5,0,432,1
7200,6,6,1214,2,0,4,9,1,506,0
9337,6,5,824,2,1,3,7,0,684,1
9765,6,8,680,2,1,3,6,1,420,1
10264,7,5,1588,2,0,3,6,0,472,1
10921,4,5,960,1,0,3,6,0,432,0
10625,5,5,458,1,0,2,5,0,366,0
9320,4,5,950,1,1,3,6,0,0,0
10603,6,7,1610,2,0,3,6,2,480,1
9206,6,5,741,2,1,3,7,1,476,1
7018,5,5,0,2,0,4,8,0,410,0
10402,7,5,1226,2,0,3,6,0,740,1
7758,7,4,1040,1,1,4,7,2,240,1
9375,8,5,1053,2,1,3,9,1,648,1
10800,4,7,641,1,0,2,6,0,273,0
6000,5,5,789,1,0,2,5,0,250,0
8500,5,7,793,2,0,3,7,0,0,0
11751,6,6,1844,2,0,3,7,1,546,1
9525,6,4,994,2,0,4,7,0,325,0
7750,7,5,384,2,1,3,7,1,400,1
9965,7,5,1264,2,1,4,10,1,792,1
21000,6,5,1809,2,0,3,7,2,450,1
7259,6,8,1028,2,1,3,9,1,180,1
3230,6,5,729,2,1,2,5,1,440,1
11616,5,5,1092,1,0,3,6,1,288,0
8536,5,5,1125,1,1,2,5,0,430,0
12376,7,5,1673,3,0,5,11,2,594,1
8461,6,5,728,2,1,3,8,1,390,1
21453,6,5,938,1,0,1,4,2,540,1
6060,4,5,732,1,0,3,4,0,264,0
9464,6,7,1080,1,0,3,5,0,288,0
7892,6,5,1199,2,0,2,5,0,530,0
17043,6,5,1362,2,0,3,7,1,435,1
6780,6,8,520,1,0,2,5,0,0,0
4928,6,5,1078,2,0,2,5,1,440,0
4388,5,7,672,1,0,3,5,1,0,0
7590,6,5,660,1,1,3,6,1,453,0
8973,5,7,1008,1,1,3,6,0,750,0
14200,7,6,924,2,1,4,8,2,487,1
12224,6,5,992,2,1,3,7,1,390,1
7388,5,6,1063,1,0,3,7,0,624,0
6853,8,5,1267,2,0,2,6,0,471,1
10335,5,6,1461,2,1,3,7,1,440,1
10400,7,6,1304,2,0,3,7,1,530,1
10355,5,5,1214,2,0,3,5,1,318,0
11070,7,5,1907,3,0,5,9,0,766,1
9066,8,5,1004,2,1,3,7,2,660,1
15426,6,5,928,2,1,3,7,0,470,1
10500,4,5,864,1,0,3,5,1,0,0
11645,7,5,1734,2,0,3,7,0,660,1
8520,5,4,910,2,0,4,6,0,720,1
10335,7,5,1490,2,0,3,6,0,577,1
9100,5,5,1728,2,0,6,10,0,504,0
2522,6,5,970,2,0,3,7,0,380,0
6120,5,7,715,1,0,2,5,0,180,0
9505,7,5,884,2,1,3,8,1,434,1
7500,7,5,1080,1,0,3,6,0,0,0
6240,5,4,896,1,0,3,7,0,240,0
10356,5,6,969,1,1,3,5,0,440,0
13891,8,5,1710,2,0,2,6,1,866,1
14803,6,5,825,2,1,4,8,1,495,1
13500,6,7,1602,1,0,1,4,1,564,1
11340,6,5,1200,1,0,4,7,0,312,0
9600,6,5,572,1,0,2,5,0,0,0
7200,5,7,0,1,0,2,5,0,625,0
12003,8,5,774,2,1,4,8,1,680,1
12552,7,5,991,2,1,3,8,1,678,1
19378,7,5,1392,2,1,4,9,1,576,1
11120,6,6,1232,2,0,3,6,0,516,0
13688,9,5,1572,2,1,3,10,2,726,1
12182,7,5,1541,2,0,3,7,1,532,1
5500,4,6,882,1,0,1,4,0,0,0
5400,6,7,1149,2,0,3,5,0,216,0
10106,5,7,644,2,0,4,6,0,0,0
10708,5,5,1617,1,0,2,7,3,303,1
10562,8,5,1582,1,1,3,8,1,789,1
8244,7,5,840,2,1,3,7,1,440,1
16669,8,6,1686,2,1,2,6,1,511,1
12358,5,6,720,1,1,2,7,0,660,0
31770,6,5,1080,1,0,3,7,2,528,1
5306,7,7,1064,2,0,2,5,1,504,1
10197,6,5,1362,1,1,3,6,1,504,0
12416,6,5,1606,2,0,3,7,1,616,1
12615,6,7,1202,2,0,4,7,1,576,1
10029,6,5,1151,2,1,4,8,1,521,1
13650,5,5,1052,2,0,4,8,1,451,1
17423,9,5,2216,2,0,1,9,1,1166,1
8520,5,6,968,1,0,2,5,0,480,0
2117,6,5,756,2,1,3,5,1,440,1
7588,7,6,793,1,1,4,9,1,216,1
9060,5,6,0,1,0,3,7,1,252,0
11426,7,5,1362,2,1,3,6,0,484,1
7438,5,8,504,1,0,3,5,0,576,0
22950,10,9,1107,2,1,4,12,2,840,1
9947,7,5,1188,2,0,3,6,0,497,1
10410,5,7,660,2,1,3,8,0,180,0
7018,5,5,1086,0,2,2,6,2,528,0
4923,8,5,1593,1,1,0,5,1,682,1
10570,8,8,853,2,1,3,10,2,440,1
7472,7,9,725,1,1,4,7,0,484,1
9017,7,5,1431,2,0,3,6,0,666,1
2522,7,5,970,2,0,3,7,0,380,0
7180,5,7,864,1,0,3,5,0,352,0
2280,6,6,855,2,1,3,7,1,440,0
9416,7,5,1726,2,0,3,8,1,786,1
25419,8,4,1360,2,0,4,8,1,795,1
5520,6,6,755,1,0,5,8,0,0,0
9591,8,5,1713,2,0,3,7,1,856,1
8546,4,5,1121,2,0,2,5,0,440,0
10125,6,6,1196,2,0,3,6,2,473,1
7000,6,6,617,2,0,2,6,0,398,0
4438,6,5,848,1,0,1,3,1,420,0
3500,5,7,720,1,1,2,5,0,240,0
11851,7,5,1424,2,0,3,5,0,500,1
13673,5,5,1140,1,1,3,8,1,349,0
12493,4,5,1100,1,0,3,6,1,312,0
14364,7,5,1157,2,1,3,7,1,454,1
8250,6,7,1092,1,0,3,6,0,504,0
5604,5,6,864,1,0,2,5,0,0,0
10420,6,5,1212,2,0,3,6,0,460,1
8640,7,5,900,2,1,3,7,1,644,1
13568,5,5,990,1,0,3,5,0,576,0
10900,6,7,689,1,1,3,6,0,299,0
10011,5,6,1070,1,0,2,6,1,447,0
8450,7,5,1436,2,0,3,8,0,484,1
9906,4,4,686,1,0,3,8,0,210,0
15660,7,9,798,1,1,3,8,2,431,1
3010,7,5,1248,2,0,2,5,0,438,1
8990,7,5,1498,2,0,2,5,0,675,1
8068,6,5,1010,2,1,4,8,1,390,1
11475,6,6,713,2,1,3,6,1,434,1
10500,4,6,864,1,0,2,4,0,576,0
13472,10,5,2392,2,0,3,8,1,968,1
1680,5,5,630,2,1,3,6,0,280,0
9950,7,5,1203,2,1,4,9,1,721,1
1869,6,6,483,1,1,2,5,0,280,0
8521,5,5,912,1,0,3,5,1,336,0
3182,7,5,1373,2,0,2,7,1,430,1
8760,6,6,1194,1,0,3,6,0,312,0
15138,8,5,1462,2,1,4,9,1,810,1
1680,6,5,483,1,1,2,5,1,288,0
10650,5,6,894,1,0,3,5,0,308,0
7851,6,5,860,2,1,4,8,2,440,1
1680,6,3,483,1,1,2,5,0,264,0
8773,7,5,1414,2,0,3,6,0,494,1
9453,7,7,996,2,1,3,7,0,457,1
12030,8,5,1694,2,0,3,7,0,818,1
8741,6,4,735,1,1,3,7,1,220,0
9000,8,5,1566,2,0,3,7,0,750,1
3880,5,9,686,1,0,2,4,0,0,0
5000,5,4,540,1,0,3,6,0,352,0
10762,6,6,626,1,1,3,6,1,288,0
8880,7,5,948,2,1,3,8,2,463,1
10400,7,5,1845,2,0,3,6,1,604,1
9142,6,8,1020,2,0,4,9,0,440,0
11310,6,5,1367,1,0,2,5,1,451,0
11317,7,5,840,2,1,3,8,0,500,1
159000,6,7,1444,2,0,4,7,2,389,1
5350,3,2,728,1,0,3,6,0,0,0
4750,8,5,1573,2,0,2,5,1,538,1
8366,6,5,798,2,1,3,6,0,520,1
9350,6,7,1302,2,0,3,7,0,309,0
8400,5,6,1314,1,0,3,5,0,294,0
8738,7,5,975,2,1,4,8,1,429,1
8791,6,5,864,2,1,3,7,0,673,1
8814,7,5,1604,2,1,3,8,1,660,1
12435,7,5,963,2,1,3,7,1,564,1
12702,5,5,0,1,0,2,4,0,308,0
19296,6,5,1362,1,0,3,6,1,884,1
9588,8,5,1482,2,1,3,10,1,868,1
8471,6,7,506,1,0,3,6,1,492,0
5500,5,7,926,1,0,3,6,0,484,0
5232,5,5,680,1,0,2,4,0,504,0
12090,6,6,1422,2,0,3,7,1,576,1
11207,6,5,802,2,1,3,8,1,413,1
8400,5,8,720,2,1,4,8,1,240,1
6900,5,6,740,1,0,2,4,1,924,0
7917,6,7,1143,1,1,3,6,1,504,0
10728,8,5,1095,2,1,3,8,1,1053,1
39104,7,7,1385,1,0,2,5,2,439,1
11764,8,7,1152,2,1,4,9,1,671,1
9600,6,6,1240,2,0,3,6,1,338,0
8314,5,7,816,1,0,2,5,0,264,0
7264,7,7,952,2,1,3,5,0,672,1
9196,7,5,1560,2,0,3,7,0,573,1
19138,4,5,864,1,0,2,4,0,400,0
14450,9,5,2121,2,1,3,8,1,732,1
10005,7,5,1160,2,1,4,8,1,505,1
11287,7,6,807,2,1,3,7,1,575,1
7200,6,5,1262,2,0,2,5,0,572,1
5063,7,5,1314,2,0,2,6,1,626,1
9612,8,5,1468,2,0,3,6,1,898,1
8012,6,5,1575,2,0,2,5,0,529,1
4251,7,5,625,2,1,2,5,0,528,1
9786,6,7,912,1,1,3,7,1,440,0
8125,4,4,858,1,0,3,5,0,0,0
9819,5,5,882,1,0,3,5,0,280,0
8730,6,7,698,1,0,3,7,0,384,0
15611,8,5,1079,2,1,3,8,1,685,1
5687,5,6,780,2,0,6,9,0,0,0
11409,5,4,768,1,1,3,8,1,281,0
16659,7,7,795,2,1,3,9,1,539,1
9600,6,5,1416,1,0,3,7,2,418,1
7937,6,6,1003,1,0,3,6,0,588,0
13710,5,5,910,1,1,4,6,0,282,0
7399,7,5,975,2,1,3,7,1,576,1
11700,6,6,702,1,2,3,7,1,539,1
14000,6,8,1092,1,0,3,6,1,300,0
15750,5,5,1165,1,0,2,5,2,375,0
16226,8,5,1028,2,1,4,9,1,683,1
13704,7,5,1541,2,0,3,6,1,843,1
9800,5,7,894,1,0,3,5,0,552,0
18386,7,9,1470,3,0,3,10,1,870,1
10386,8,5,2000,2,0,3,8,0,888,1
13474,7,5,700,2,1,4,8,1,746,1
7920,6,7,319,1,0,3,6,0,0,0
12342,4,5,861,1,0,1,4,0,539,0
12378,9,5,1896,2,0,3,8,3,708,1
7685,6,5,697,2,1,3,6,1,420,1
8000,6,6,972,1,0,2,5,1,240,0
7800,5,7,793,1,0,3,5,1,410,0
215245,7,5,2136,2,0,3,8,2,513,1
9600,7,7,728,1,1,3,6,1,546,1
7795,7,5,716,2,1,3,6,1,432,1
13005,7,7,845,2,1,4,10,1,484,1
9000,8,5,1088,2,1,3,8,1,1025,1
9900,7,5,1347,2,1,4,9,1,656,1
14115,7,5,1372,2,0,3,6,2,588,1
16259,9,5,1249,3,1,4,9,0,840,1
12099,8,5,1136,2,1,4,10,1,872,1
10380,7,5,1502,2,1,4,8,1,576,1
5820,3,8,1162,1,0,3,6,0,220,0
11275,7,7,710,2,1,5,11,1,564,1
5000,5,6,720,1,0,2,5,0,360,0
10846,8,5,1719,1,1,1,6,2,473,1
11600,6,5,1383,1,1,3,7,0,292,0
11888,6,6,844,2,0,5,10,0,441,1
6402,5,5,596,1,0,3,6,0,189,0
10624,5,4,1728,2,0,6,10,0,352,0
8176,5,6,1056,1,0,3,6,0,308,0
10655,8,5,3206,2,0,3,7,1,880,1
8198,7,5,1358,2,0,2,6,1,484,1
9042,6,5,943,2,1,3,7,2,472,1
164660,5,6,1499,2,0,3,7,2,529,1
14157,9,5,1922,2,0,3,8,1,676,1
9135,7,5,1536,2,0,3,7,0,532,1
14145,7,7,1208,2,0,3,8,0,440,1
12400,6,7,1215,1,0,3,6,0,297,0
14191,8,5,967,2,1,4,9,0,431,1
8400,4,4,721,1,0,2,4,0,294,0
8544,3,4,0,2,0,2,6,0,400,0
8849,9,5,1684,2,0,2,6,1,564,1
2592,5,3,536,1,1,3,4,0,336,0
6435,6,5,972,1,0,3,6,1,312,0
12772,6,8,958,1,0,2,5,0,301,0
17600,6,5,1478,2,0,3,6,2,498,0
2448,7,5,764,2,1,2,6,0,474,0
20431,9,5,1848,2,1,4,10,2,706,1
7820,9,5,1869,2,0,2,6,1,617,1
5271,7,5,1453,1,1,2,6,1,445,1
9084,5,6,616,1,0,3,5,0,200,0
8520,6,8,624,1,0,2,5,0,484,0
8400,6,5,940,1,0,2,6,2,240,0
11249,6,5,1200,2,0,3,6,0,521,1
9248,6,6,1158,2,0,3,6,0,400,1
4224,5,5,1142,1,1,3,6,1,528,0
6930,5,4,1062,1,0,3,6,0,288,0
12011,8,5,1086,2,1,3,7,1,592,1
7540,6,6,888,1,0,2,5,1,470,0
9144,5,5,883,1,0,3,8,0,240,0
7301,7,5,0,3,0,4,7,1,672,1
1680,6,8,483,1,1,2,5,0,264,0
18800,6,5,796,2,1,3,6,1,566,1
10690,5,7,672,1,0,3,6,0,468,0
9500,6,5,1394,1,1,3,6,2,514,0
9150,6,5,1099,1,0,3,6,1,296,1
7800,5,6,1268,1,0,2,7,1,244,0
9830,5,7,1063,1,0,3,7,1,576,0
8121,6,5,953,2,1,3,7,1,460,1
17120,4,4,0,2,0,4,7,1,680,0
7175,6,5,744,1,0,2,4,0,264,0
10634,5,6,608,1,0,3,5,0,270,0
8200,7,5,847,2,1,4,8,1,434,1
10020,1,1,683,0,1,1,4,0,0,0
8846,5,5,870,1,0,2,5,0,576,0
11143,8,5,1580,3,0,4,8,1,610,1
11394,9,2,1856,1,1,1,8,1,834,1
8123,6,5,982,2,1,3,7,1,463,1
5000,5,6,1026,2,0,3,6,1,308,0
7200,7,5,1293,2,0,2,5,1,572,1
9245,7,5,939,2,1,3,8,0,639,1
9000,6,3,784,1,0,2,5,0,360,0
53107,6,5,1580,2,1,3,9,2,501,1
3182,8,5,1256,2,0,2,6,1,430,1
8410,5,3,658,1,0,5,8,0,0,0
7200,6,6,1041,1,0,3,6,1,352,0
9382,7,5,1468,2,0,3,6,0,577,1
12474,10,5,1682,2,1,3,9,1,846,1
8405,5,8,861,1,0,4,7,0,384,0
12209,6,5,804,2,1,3,7,1,560,1
8339,5,7,0,1,0,3,5,0,294,0
7446,4,5,788,1,0,2,4,2,0,0
10134,5,6,735,1,0,2,5,0,240,0
9571,5,6,1144,1,0,3,6,0,596,0
7200,5,5,894,1,0,2,6,0,600,0
7590,5,5,864,2,0,4,8,1,264,1
8967,5,2,961,1,0,2,6,0,338,0
8125,7,5,1092,2,0,2,7,0,438,1
14963,8,5,1260,1,1,1,4,2,500,1
8767,7,5,1310,2,0,3,6,1,400,1
10200,5,8,672,1,0,2,4,0,240,0
12090,8,5,1141,2,1,4,10,1,420,1
10364,6,5,806,2,1,3,7,1,373,1
9991,4,4,1281,2,0,3,8,1,490,0
10480,6,5,1064,1,0,3,6,0,240,0
15576,6,7,840,2,0,4,8,0,308,1
14154,7,5,1063,2,1,3,9,1,947,1
10800,8,5,1034,2,1,3,8,1,836,1
9571,5,3,1276,1,0,3,5,0,350,0
34650,5,5,1056,1,0,3,5,0,572,0
4403,7,5,1470,2,1,2,7,1,484,1
8960,5,6,1008,1,0,2,5,1,360,0
11228,7,5,1080,2,1,3,9,1,678,1
8899,7,5,1340,2,0,3,6,0,396,1
7844,6,7,672,1,1,3,6,1,440,0
22420,6,6,1370,2,1,4,10,1,864,1
8160,5,6,756,1,1,3,7,0,240,0
8450,5,6,1056,1,0,3,6,1,304,0
7060,7,5,1344,2,0,2,8,0,784,1
16635,6,7,1602,2,0,3,8,1,529,1
21750,5,5,988,1,0,2,4,0,520,0
9200,8,5,1470,2,1,4,8,1,696,1
9000,6,5,1196,1,0,2,6,1,297,0
3378,7,8,651,1,1,3,6,2,240,0
12800,7,5,1518,2,0,2,5,1,569,1
8593,4,6,907,1,0,3,5,0,352,0
6762,7,5,1208,2,0,2,6,0,628,1
11457,6,5,1392,2,0,3,6,1,576,1
1680,6,5,483,1,1,2,4,0,264,0
5586,6,7,901,1,0,4,7,0,0,0
1920,5,5,765,1,1,2,6,0,440,0
10839,6,5,926,2,1,3,7,1,470,1
1890,4,7,630,1,0,1,3,0,0,0
10667,7,6,799,2,1,3,6,1,550,1
4400,6,8,648,1,0,2,6,0,440,0
6000,6,7,884,1,0,2,4,0,180,0
4280,5,6,440,1,0,2,4,1,352,0
12354,6,8,684,1,0,3,7,0,528,0
15431,10,5,3094,2,0,2,10,2,672,1
12108,4,4,1440,2,0,4,8,0,0,0
6240,5,7,1078,2,0,3,8,1,360,0
3922,7,5,1258,2,0,2,6,1,648,1
8750,7,5,915,2,1,4,8,1,493,1
9855,6,5,1436,1,0,3,7,1,480,0
16492,6,6,1517,2,1,2,6,1,578,1
11214,7,5,930,2,1,4,10,1,431,1
8600,6,6,780,2,0,3,7,1,198,0
6000,3,7,649,1,1,2,6,0,308,0
5684,6,8,813,1,0,2,5,0,270,0
70761,7,5,1533,2,0,2,5,2,576,1
9303,6,5,872,2,1,3,7,0,422,1
9000,8,5,768,2,1,3,6,0,676,1
9297,5,5,1728,2,0,4,8,0,560,1
9600,7,6,1242,1,1,3,6,1,528,1
4571,5,5,624,1,0,4,7,0,513,0
53227,4,6,1364,1,0,2,6,2,529,1
5100,8,7,588,1,0,3,7,1,228,0
7015,5,4,709,1,0,3,5,1,352,0
8004,8,5,832,2,1,3,8,0,552,1
7200,7,9,560,1,0,3,6,0,576,0
8281,5,5,864,1,0,3,5,1,360,0
11988,6,7,715,1,1,3,6,1,240,1
8430,5,5,1040,2,0,3,5,0,0,0
3072,7,5,1375,2,0,2,6,1,398,1
10628,7,5,1277,1,0,2,5,1,526,1
9480,5,7,728,1,1,3,7,2,312,0
11428,8,5,1626,2,0,3,7,1,866,1
9291,6,5,832,2,1,3,7,0,506,1
6820,8,5,1488,1,1,1,4,0,528,1
11952,7,6,808,2,1,3,8,1,534,1
3675,6,5,547,1,0,2,5,0,525,0
14977,8,5,1976,2,0,2,7,1,908,1
5330,8,5,1494,2,0,2,6,0,499,1
8480,5,6,970,1,0,2,5,0,624,0
13125,6,5,1478,2,0,3,7,1,508,1
13693,9,5,2153,2,1,3,9,1,694,1
10637,8,5,1705,2,0,3,7,1,826,1
5925,4,7,907,1,0,2,7,0,672,0
16033,9,5,1833,2,0,3,8,1,772,1
11846,9,5,1792,2,0,2,6,1,874,1
2500,7,8,910,1,1,4,7,1,164,0
4500,6,5,1216,2,0,2,5,0,402,1
7758,5,7,999,1,0,3,6,0,264,0
9600,5,7,1113,1,0,3,5,1,264,0
10289,5,7,1073,1,1,3,6,0,515,0
12243,5,6,1484,2,0,3,7,1,487,1
10800,5,4,954,2,0,3,10,1,520,0
1526,4,8,630,1,0,1,3,0,286,0
2665,5,6,264,1,1,3,4,1,336,0
9490,6,7,806,1,0,3,5,2,240,0
15578,6,5,728,2,1,3,8,0,429,1
7931,5,6,1269,1,1,3,6,1,308,0
5784,5,8,190,1,0,2,4,0,273,0
7879,4,5,720,1,0,2,4,0,0,0
12692,8,5,3200,3,0,4,10,1,546,1
9120,7,6,1026,2,0,4,8,0,240,1
7800,5,7,864,1,0,3,5,0,288,0
7535,5,7,912,1,0,2,5,0,297,0
1890,6,5,672,1,1,3,7,0,264,0
9803,7,5,866,2,1,3,7,0,603,1
9170,5,7,1214,1,0,2,6,0,461,0
15602,7,8,1501,2,0,1,6,2,484,1
2308,6,5,855,2,1,3,6,1,440,0
7596,5,5,960,2,0,4,10,0,400,0
9554,8,5,777,2,1,3,8,1,471,1
7862,6,5,1218,2,0,2,4,0,676,1
9600,7,9,689,2,0,3,7,1,360,0
9600,5,6,1041,1,0,3,6,0,270,0
14559,5,7,1008,1,0,2,6,2,288,1
6792,7,5,1368,2,0,2,6,1,474,1
9100,5,5,864,1,0,3,5,0,624,0
9187,6,5,1084,1,1,3,5,0,484,0
10594,5,5,768,1,0,2,5,0,200,0
12220,10,5,2006,2,1,3,9,1,900,1
10448,6,6,689,2,1,3,7,1,583,0
10208,7,5,1264,2,1,3,7,1,889,1
9531,6,5,794,2,1,3,7,0,546,1
10918,7,9,1276,1,1,3,9,2,282,1
10800,4,7,0,2,0,3,7,0,0,0
11988,6,6,1244,1,1,3,6,2,336,0
5000,6,7,1004,2,0,3,7,2,420,0
40094,10,5,3138,3,1,3,11,1,884,1
11787,7,5,1379,2,1,3,8,1,834,1
7500,7,5,1257,2,0,3,6,1,453,1
13300,5,7,928,1,0,2,4,0,252,0
14948,9,5,1452,2,1,3,11,1,858,1
9098,4,7,528,1,0,2,5,0,0,0
32668,6,3,2035,3,0,4,9,2,484,1
10200,6,5,1461,2,0,3,5,1,600,1
6155,6,8,611,2,0,3,6,0,502,0
7200,5,7,0,1,0,2,5,1,392,0
5000,1,3,0,1,0,1,2,0,0,0
9056,8,5,707,2,1,3,6,1,403,1
7000,5,7,1117,1,0,3,5,0,0,0
8924,7,5,880,2,1,3,8,0,527,1
12735,4,5,864,1,0,3,5,0,576,0
11553,5,5,1051,1,1,3,7,1,336,0
11423,8,5,1581,2,0,3,6,1,670,1
14601,9,5,1838,2,0,2,8,1,765,1
11000,8,5,969,2,1,4,8,1,648,1
10140,7,5,1650,2,0,3,7,1,583,1
4058,7,5,723,1,0,1,4,0,367,0
17104,7,5,654,2,1,3,7,1,426,1
13837,7,5,1204,2,1,4,9,0,786,1
8737,6,7,1065,1,1,3,6,1,440,1
7244,5,7,768,1,0,2,5,0,624,0
8235,5,7,825,1,0,2,4,0,720,0
9375,7,5,912,2,1,4,8,1,615,1
4043,6,6,1069,2,0,2,4,0,440,0
6000,5,6,928,1,0,3,5,0,288,0
11146,8,5,1709,2,0,3,7,1,908,1
8777,4,5,0,2,0,2,5,0,520,0
10625,7,5,998,2,1,3,8,1,871,1
6380,5,6,993,1,0,2,5,1,280,0
14850,5,5,1092,1,0,2,6,1,299,0
11040,4,6,637,1,1,3,7,0,570,0
21872,7,5,729,2,1,3,6,1,406,1
3196,7,5,1374,2,0,2,7,1,420,1
11341,5,6,1392,1,1,3,5,1,528,0
10010,5,5,1389,1,0,2,6,1,418,1
13907,5,6,996,1,0,3,6,1,0,0
21780,6,7,1163,2,0,4,8,1,396,1
13346,7,5,1095,2,1,4,9,1,590,1
6858,6,4,806,1,1,4,6,0,216,0
11198,9,5,1122,2,1,4,11,1,656,1
10171,7,5,1517,2,0,3,7,0,532,1
12327,8,8,1496,1,1,1,5,1,612,1
7032,5,5,943,1,0,2,4,2,600,0
13101,5,5,1728,2,0,6,10,0,576,0
7332,6,6,864,1,0,2,4,0,288,0
13159,7,5,846,2,1,3,6,0,650,1
9967,7,5,384,2,1,3,8,1,400,1
10500,5,7,372,1,0,3,5,0,288,0
8480,5,5,832,1,0,2,6,0,336,0
6292,7,7,861,2,0,3,6,1,216,0
11777,5,6,1164,1,0,3,6,2,564,1
3604,7,5,689,2,0,2,5,0,540,0
12150,5,5,1050,2,0,4,7,0,352,0
14585,6,6,1144,1,0,3,7,2,572,1
12704,8,5,2042,2,1,3,8,1,1390,1
11841,6,5,816,1,0,3,5,0,0,0
13500,10,9,1237,3,1,3,9,1,880,1
6120,4,7,884,1,0,3,6,0,240,0
11443,8,5,1868,2,0,2,7,2,880,1
10267,6,7,816,1,0,2,5,0,275,0
8740,5,6,840,1,0,2,4,0,528,0
